ts,symbol,event_type,last_px,last_sz,side,bid_px_1,bid_sz_1,ask_px_1,ask_sz_1,bid_px_2,bid_sz_2,ask_px_2,ask_sz_2,bid_px_3,bid_sz_3,ask_px_3,ask_sz_3,bid_px_4,bid_sz_4,ask_px_4,ask_sz_4,bid_px_5,bid_sz_5,ask_px_5,ask_sz_5,bid_px_6,bid_sz_6,ask_px_6,ask_sz_6,bid_px_7,bid_sz_7,ask_px_7,ask_sz_7,bid_px_8,bid_sz_8,ask_px_8,ask_sz_8,bid_px_9,bid_sz_9,ask_px_9,ask_sz_9,bid_px_10,bid_sz_10,ask_px_10,ask_sz_10
1200000000,000001.SZ,quote,10.011997,919,-1,9.995493,4904,10.028501,2246,9.985493,4644,10.038501,2672,9.975493,1585,10.048501,3359,9.965493,1063,10.058501,2501,9.955493,3527,10.068501,2834,9.945493,1792,10.078501,4089,9.935493,4950,10.088501,2978,9.925493,4833,10.098501,564,9.915493,2952,10.108501,1348,9.905493,1600,10.118501,2666
1300000000,000001.SZ,quote,10.00969,4632,-1,9.996833,2731,10.022546,2808,9.986833,2225,10.032546,3308,9.976833,2167,10.042546,2662,9.966833,4640,10.052546,4502,9.956833,2557,10.062546,916,9.946833,1256,10.072546,3969,9.936833,2766,10.082546,861,9.926833,529,10.092546,3232,9.916833,1571,10.102546,2645,9.906833,1823,10.112546,4119
1400000000,000001.SZ,quote,10.01,179,-1,9.994578,1116,10.025421,1721,9.984578,4969,10.035421,795,9.974578,3524,10.045421,1713,9.964578,4020,10.055421,1544,9.954578,842,10.065421,3025,9.944578,3487,10.075421,826,9.934578,3431,10.085421,2220,9.924578,2544,10.095421,1342,9.914578,3397,10.105421,3829,9.904578,1766,10.115421,2439
1500000000,000001.SZ,quote,10.012187,1550,1,9.992378,703,10.031997,1969,9.982378,3221,10.041997,3872,9.972378,2532,10.051997,2685,9.962378,1804,10.061997,1385,9.952378,3633,10.071997,817,9.942378,4355,10.081997,2322,9.932378,2134,10.091997,4270,9.922378,3364,10.101997,3000,9.912378,2364,10.111997,2326,9.902378,693,10.121997,2082
1600000000,000001.SZ,quote,10.011578,668,1,9.997349,3376,10.025807,4673,9.987349,3774,10.035807,4892,9.977349,3212,10.045807,726,9.967349,1444,10.055807,2639,9.957349,1962,10.065807,2674,9.947349,813,10.075807,1388,9.937349,4059,10.085807,3331,9.927349,3069,10.095807,4074,9.917349,4689,10.105807,1447,9.907349,3655,10.115807,2057
1700000000,000001.SZ,quote,10.010106,113,-1,9.992436,3483,10.027777,4033,9.982436,1073,10.037777,3204,9.972436,3071,10.047777,1520,9.962436,2960,10.057777,4654,9.952436,3033,10.067777,3845,9.942436,3172,10.077777,3796,9.932436,2922,10.087777,1542,9.922436,2071,10.097777,3944,9.912436,3605,10.107777,1925,9.902436,2965,10.117777,3826
1800000000,000001.SZ,quote,10.010394,2450,-1,9.998391,4021,10.022397,3139,9.988391,4309,10.032397,4119,9.978391,4122,10.042397,2250,9.968391,4687,10.052397,4376,9.958391,1890,10.062397,1194,9.948391,2824,10.072397,4722,9.938391,3245,10.082397,1265,9.928391,2424,10.092397,3042,9.918391,2340,10.102397,2131,9.908391,1707,10.112397,700
1900000000,000001.SZ,quote,10.007671,696,1,9.9878,3895,10.027543,2092,9.9778,3645,10.037543,4549,9.9678,3773,10.047543,2498,9.9578,1708,10.057543,545,9.9478,1373,10.067543,3982,9.9378,2292,10.077543,1940,9.9278,4743,10.087543,4305,9.9178,911,10.097543,2541,9.9078,1494,10.107543,4239,9.8978,1592,10.117543,4306
2000000000,000001.SZ,quote,10.008677,4977,1,9.988774,4125,10.02858,4635,9.978774,3995,10.03858,4988,9.968774,4152,10.04858,1803,9.958774,4388,10.05858,4186,9.948774,2623,10.06858,2525,9.938774,2771,10.07858,4770,9.928774,4469,10.08858,2459,9.918774,2749,10.09858,4103,9.908774,1134,10.10858,2840,9.898774,2420,10.11858,2725
2100000000,000001.SZ,quote,10.007692,760,-1,9.988548,1735,10.026836,2394,9.978548,3637,10.036836,1751,9.968548,2252,10.046836,1026,9.958548,3898,10.056836,3839,9.948548,3210,10.066836,4945,9.938548,4316,10.076836,3906,9.928548,1010,10.086836,2194,9.918548,3941,10.096836,3690,9.908548,660,10.106836,3616,9.898548,4407,10.116836,548
2200000000,000001.SZ,quote,10.010348,3294,1,9.995959,4909,10.024737,4973,9.985959,2306,10.034737,4499,9.975959,2297,10.044737,2735,9.965959,4070,10.054737,4478,9.955959,737,10.064737,3685,9.945959,3253,10.074737,3812,9.935959,1852,10.084737,4328,9.925959,1545,10.094737,4875,9.915959,720,10.104737,3727,9.905959,722,10.114737,1187
2300000000,000001.SZ,quote,10.011205,3882,-1,9.998119,911,10.02429,2631,9.988119,3605,10.03429,3181,9.978119,2233,10.04429,4224,9.968119,3177,10.05429,3264,9.958119,3605,10.06429,2779,9.948119,3953,10.07429,2566,9.938119,1170,10.08429,4352,9.928119,658,10.09429,4918,9.918119,926,10.10429,3366,9.908119,2336,10.11429,1062
2400000000,000001.SZ,quote,10.012892,354,-1,9.995678,2133,10.030106,666,9.985678,1748,10.040106,2454,9.975678,1534,10.050106,4379,9.965678,1437,10.060106,2285,9.955678,4309,10.070106,2599,9.945678,3521,10.080106,1874,9.935678,1438,10.090106,1841,9.925678,3048,10.100106,1385,9.915678,710,10.110106,3055,9.905678,3574,10.120106,3749
2500000000,000001.SZ,quote,10.015541,4950,-1,10.001954,1334,10.029128,2970,9.991954,1491,10.039128,836,9.981954,3344,10.049128,4864,9.971954,4009,10.059128,3535,9.961954,1064,10.069128,4644,9.951954,3295,10.079128,603,9.941954,3941,10.089128,4515,9.931954,1364,10.099128,4051,9.921954,3467,10.109128,4266,9.911954,1753,10.119128,4067
2600000000,000001.SZ,quote,10.013598,2312,1,9.997424,4308,10.029772,4068,9.987424,2698,10.039772,3140,9.977424,2511,10.049772,1209,9.967424,2784,10.059772,4192,9.957424,2497,10.069772,4306,9.947424,3604,10.079772,3255,9.937424,735,10.089772,4549,9.927424,3162,10.099772,1989,9.917424,4494,10.109772,2237,9.907424,3406,10.119772,2616
2700000000,000001.SZ,quote,10.01264,2363,-1,9.993597,4732,10.031682,2065,9.983597,1201,10.041682,2477,9.973597,3829,10.051682,4502,9.963597,2468,10.061682,4400,9.953597,4520,10.071682,4171,9.943597,641,10.081682,1262,9.933597,2910,10.091682,2315,9.923597,3812,10.101682,2493,9.913597,3008,10.111682,3523,9.903597,4376,10.121682,4849
2800000000,000001.SZ,quote,10.011702,4608,1,9.991729,3382,10.031675,4217,9.981729,2719,10.041675,3011,9.971729,2559,10.051675,2388,9.961729,1488,10.061675,2077,9.951729,3084,10.071675,1479,9.941729,4889,10.081675,2016,9.931729,2069,10.091675,2272,9.921729,4466,10.101675,2765,9.911729,4797,10.111675,2818,9.901729,1323,10.121675,2090
2900000000,000001.SZ,quote,10.01048,2576,-1,9.995593,4875,10.025367,1536,9.985593,2747,10.035367,872,9.975593,946,10.045367,2893,9.965593,1534,10.055367,4521,9.955593,1340,10.065367,600,9.945593,2829,10.075367,4345,9.935593,4421,10.085367,4108,9.925593,3291,10.095367,2010,9.915593,920,10.105367,2568,9.905593,4413,10.115367,1434
3000000000,000001.SZ,quote,10.012413,706,-1,9.997207,1742,10.027618,1722,9.987207,2989,10.037618,1197,9.977207,2533,10.047618,1470,9.967207,3909,10.057618,2348,9.957207,4780,10.067618,3616,9.947207,4190,10.077618,4126,9.937207,2935,10.087618,4012,9.927207,3001,10.097618,993,9.917207,1312,10.107618,2202,9.907207,2228,10.117618,2667
3100000000,000001.SZ,quote,10.013375,1523,-1,10.000119,1782,10.026632,521,9.990119,3846,10.036632,4190,9.980119,4349,10.046632,2885,9.970119,767,10.056632,2396,9.960119,2860,10.066632,2816,9.950119,4219,10.076632,1083,9.940119,2412,10.086632,2667,9.930119,2120,10.096632,3982,9.920119,1440,10.106632,4961,9.910119,2341,10.116632,1720
3200000000,000001.SZ,quote,10.015826,684,-1,9.997213,1859,10.034439,3019,9.987213,2864,10.044439,4097,9.977213,1518,10.054439,4339,9.967213,2991,10.064439,3797,9.957213,2730,10.074439,4599,9.947213,4923,10.084439,4545,9.937213,4086,10.094439,1158,9.927213,826,10.104439,4039,9.917213,3140,10.114439,2551,9.907213,711,10.124439,1248
3300000000,000001.SZ,quote,10.014199,4812,-1,9.996805,2707,10.031594,829,9.986805,1935,10.041594,4354,9.976805,4751,10.051594,4122,9.966805,2778,10.061594,1986,9.956805,4070,10.071594,4528,9.946805,1247,10.081594,4350,9.936805,3350,10.091594,3845,9.926805,3230,10.101594,3130,9.916805,1356,10.111594,1817,9.906805,3201,10.121594,3872
3400000000,000001.SZ,quote,10.015361,3380,-1,10.001055,4225,10.029667,1221,9.991055,3076,10.039667,2567,9.981055,3148,10.049667,1449,9.971055,3811,10.059667,4715,9.961055,509,10.069667,4944,9.951055,4284,10.079667,3885,9.941055,944,10.089667,2036,9.931055,4747,10.099667,3463,9.921055,4583,10.109667,4121,9.911055,922,10.119667,2167
3500000000,000001.SZ,quote,10.013964,2459,1,10.000915,4470,10.027012,1494,9.990915,736,10.037012,2460,9.980915,1797,10.047012,3045,9.970915,612,10.057012,3842,9.960915,1263,10.067012,2340,9.950915,1429,10.077012,4280,9.940915,1462,10.087012,1761,9.930915,4582,10.097012,2890,9.920915,4668,10.107012,2739,9.910915,3903,10.117012,4452
3600000000,000001.SZ,quote,10.016845,4615,-1,10.002895,3642,10.030795,2061,9.992895,4663,10.040795,1618,9.982895,1071,10.050795,2763,9.972895,3899,10.060795,3284,9.962895,4659,10.070795,2688,9.952895,521,10.080795,2817,9.942895,2945,10.090795,4511,9.932895,1717,10.100795,4158,9.922895,4912,10.110795,4467,9.912895,3327,10.120795,3223
3700000000,000001.SZ,quote,10.017156,3830,1,10.000809,2045,10.033504,2456,9.990809,3637,10.043504,2413,9.980809,3865,10.053504,857,9.970809,3106,10.063504,4374,9.960809,3623,10.073504,3662,9.950809,1746,10.083504,4557,9.940809,803,10.093504,1534,9.930809,4614,10.103504,3219,9.920809,1322,10.113504,4106,9.910809,1316,10.123504,4808
3800000000,000001.SZ,quote,10.019619,1280,1,10.007496,1764,10.031742,1112,9.997496,4346,10.041742,2671,9.987496,3273,10.051742,3756,9.977496,1157,10.061742,3191,9.967496,4871,10.071742,3613,9.957496,3094,10.081742,4497,9.947496,4932,10.091742,794,9.937496,1060,10.101742,2423,9.927496,2854,10.111742,2363,9.917496,1240,10.121742,4055
3900000000,000001.SZ,quote,10.022489,923,1,10.004406,1862,10.040572,2953,9.994406,737,10.050572,876,9.984406,3157,10.060572,959,9.974406,2903,10.070572,3436,9.964406,3570,10.080572,4028,9.954406,1692,10.090572,2500,9.944406,4851,10.100572,3875,9.934406,1975,10.110572,1892,9.924406,1934,10.120572,1146,9.914406,3633,10.130572,2472
4000000000,000001.SZ,quote,10.022475,2002,1,10.00581,2580,10.03914,4264,9.99581,2591,10.04914,576,9.98581,4311,10.05914,2856,9.97581,4977,10.06914,1794,9.96581,1105,10.07914,4118,9.95581,3330,10.08914,2950,9.94581,3975,10.09914,2548,9.93581,4242,10.10914,2974,9.92581,2131,10.11914,3651,9.91581,4458,10.12914,1373
4100000000,000001.SZ,quote,10.020898,4808,1,10.004323,2918,10.037474,679,9.994323,3742,10.047474,2748,9.984323,566,10.057474,901,9.974323,4569,10.067474,2844,9.964323,2385,10.077474,3386,9.954323,2294,10.087474,2057,9.944323,2553,10.097474,1620,9.934323,1295,10.107474,822,9.924323,3030,10.117474,4111,9.914323,773,10.127474,3488
4200000000,000001.SZ,quote,10.022293,2517,1,10.009571,3903,10.035014,1938,9.999571,2144,10.045014,1582,9.989571,4918,10.055014,3497,9.979571,4848,10.065014,4610,9.969571,2732,10.075014,1847,9.959571,2605,10.085014,4447,9.949571,2917,10.095014,3274,9.939571,1443,10.105014,4336,9.929571,1116,10.115014,1653,9.919571,2348,10.125014,3755
4300000000,000001.SZ,quote,10.025096,3096,-1,10.006659,3732,10.043533,614,9.996659,2666,10.053533,4895,9.986659,1512,10.063533,4225,9.976659,3519,10.073533,2647,9.966659,3621,10.083533,3543,9.956659,1387,10.093533,2415,9.946659,4362,10.103533,705,9.936659,3187,10.113533,2313,9.926659,1017,10.123533,4303,9.916659,2975,10.133533,3844
4400000000,000001.SZ,quote,10.022796,404,1,10.010433,4535,10.035159,1451,10.000433,1296,10.045159,2423,9.990433,4903,10.055159,1611,9.980433,3683,10.065159,4216,9.970433,3539,10.075159,4925,9.960433,3933,10.085159,1765,9.950433,3898,10.095159,1311,9.940433,4508,10.105159,3843,9.930433,2791,10.115159,768,9.920433,3535,10.125159,2279
4500000000,000001.SZ,quote,10.022457,3071,-1,10.002852,3509,10.042061,4960,9.992852,3438,10.052061,996,9.982852,3761,10.062061,2760,9.972852,2054,10.072061,1500,9.962852,4225,10.082061,1250,9.952852,2237,10.092061,674,9.942852,914,10.102061,3232,9.932852,2495,10.112061,1531,9.922852,2181,10.122061,1062,9.912852,2197,10.132061,2269
4600000000,000001.SZ,quote,10.024335,1308,-1,10.010471,2771,10.038199,1685,10.000471,1564,10.048199,4925,9.990471,2553,10.058199,1929,9.980471,1400,10.068199,711,9.970471,1579,10.078199,621,9.960471,3434,10.088199,2449,9.950471,3152,10.098199,629,9.940471,1927,10.108199,2673,9.930471,929,10.118199,1538,9.920471,3948,10.128199,4809
4700000000,000001.SZ,quote,10.022017,3772,1,10.009508,4704,10.034525,1393,9.999508,4202,10.044525,4627,9.989508,2314,10.054525,855,9.979508,4771,10.064525,2970,9.969508,4252,10.074525,755,9.959508,998,10.084525,4423,9.949508,3790,10.094525,3992,9.939508,1384,10.104525,4516,9.929508,4133,10.114525,1102,9.919508,1161,10.124525,3138
4800000000,000001.SZ,quote,10.022667,2352,1,10.010141,3620,10.035192,4846,10.000141,2915,10.045192,4216,9.990141,4641,10.055192,4024,9.980141,1312,10.065192,1437,9.970141,2261,10.075192,4023,9.960141,4199,10.085192,2371,9.950141,3889,10.095192,3276,9.940141,4215,10.105192,3766,9.930141,3907,10.115192,1278,9.920141,3060,10.125192,3996
4900000000,000001.SZ,quote,10.021542,1350,1,10.007503,1049,10.035581,1247,9.997503,1199,10.045581,1263,9.987503,4037,10.055581,1291,9.977503,3552,10.065581,1565,9.967503,991,10.075581,3200,9.957503,1501,10.085581,3865,9.947503,3396,10.095581,3964,9.937503,921,10.105581,2856,9.927503,3059,10.115581,3380,9.917503,1348,10.125581,4656
5000000000,000001.SZ,quote,10.019818,1937,-1,10.002564,3368,10.037072,3511,9.992564,1441,10.047072,2782,9.982564,2352,10.057072,4015,9.972564,715,10.067072,2690,9.962564,737,10.077072,1977,9.952564,2738,10.087072,3031,9.942564,3283,10.097072,3375,9.932564,550,10.107072,1986,9.922564,1673,10.117072,3783,9.912564,1070,10.127072,1662
5100000000,000001.SZ,quote,10.021264,851,-1,10.001489,3581,10.041038,3939,9.991489,4216,10.051038,3292,9.981489,1789,10.061038,3531,9.971489,3052,10.071038,3157,9.961489,1195,10.081038,930,9.951489,1774,10.091038,1789,9.941489,907,10.101038,1168,9.931489,2729,10.111038,4129,9.921489,3973,10.121038,4478,9.911489,4121,10.131038,3892
5200000000,000001.SZ,quote,10.019903,1032,1,10.001863,4021,10.037942,1408,9.991863,2820,10.047942,4486,9.981863,4816,10.057942,3026,9.971863,872,10.067942,2306,9.961863,3737,10.077942,948,9.951863,562,10.087942,2174,9.941863,2969,10.097942,2230,9.931863,1624,10.107942,2593,9.921863,2871,10.117942,3187,9.911863,1482,10.127942,563
5300000000,000001.SZ,quote,10.019887,1158,1,10.004442,4862,10.035332,2385,9.994442,4598,10.045332,3401,9.984442,1090,10.055332,3752,9.974442,846,10.065332,4073,9.964442,653,10.075332,4266,9.954442,1137,10.085332,3064,9.944442,4016,10.095332,3813,9.934442,3921,10.105332,2871,9.924442,1443,10.115332,3818,9.914442,670,10.125332,3160
5400000000,000001.SZ,quote,10.017918,3869,1,9.998338,1221,10.037499,4077,9.988338,1367,10.047499,2493,9.978338,4069,10.057499,3780,9.968338,4792,10.067499,1144,9.958338,3742,10.077499,3041,9.948338,3281,10.087499,2315,9.938338,3228,10.097499,1877,9.928338,1125,10.107499,4681,9.918338,1434,10.117499,4846,9.908338,4677,10.127499,2088
5500000000,000001.SZ,quote,10.020354,1309,-1,10.005559,1342,10.035149,1699,9.995559,2596,10.045149,2116,9.985559,1921,10.055149,1752,9.975559,1117,10.065149,1951,9.965559,4547,10.075149,4300,9.955559,4177,10.085149,3147,9.945559,3089,10.095149,1736,9.935559,4102,10.105149,1059,9.925559,4341,10.115149,4122,9.915559,2980,10.125149,2750
5600000000,000001.SZ,quote,10.020903,707,1,10.006087,4282,10.035718,4202,9.996087,808,10.045718,966,9.986087,3520,10.055718,2851,9.976087,1128,10.065718,1239,9.966087,4653,10.075718,3649,9.956087,4290,10.085718,836,9.946087,4184,10.095718,2042,9.936087,3133,10.105718,4396,9.926087,4607,10.115718,1735,9.916087,1006,10.125718,4190
5700000000,000001.SZ,quote,10.018524,2913,-1,9.999331,4633,10.037717,1913,9.989331,820,10.047717,2529,9.979331,4086,10.057717,4099,9.969331,4793,10.067717,4782,9.959331,1800,10.077717,3481,9.949331,3554,10.087717,2817,9.939331,3673,10.097717,3848,9.929331,3271,10.107717,928,9.919331,3241,10.117717,1039,9.909331,3200,10.127717,1274
5800000000,000001.SZ,quote,10.018871,2164,-1,10.003779,3230,10.033964,1167,9.993779,1658,10.043964,3365,9.983779,3041,10.053964,3710,9.973779,1556,10.063964,1194,9.963779,3036,10.073964,3585,9.953779,3190,10.083964,1546,9.943779,4812,10.093964,1265,9.933779,3968,10.103964,4665,9.923779,3464,10.113964,649,9.913779,3470,10.123964,3030
5900000000,000001.SZ,quote,10.016953,4083,-1,10.003239,2355,10.030666,1626,9.993239,1769,10.040666,1132,9.983239,2923,10.050666,1328,9.973239,4658,10.060666,4921,9.963239,4813,10.070666,809,9.953239,3258,10.080666,1573,9.943239,3586,10.090666,1763,9.933239,1829,10.100666,1981,9.923239,1856,10.110666,4085,9.913239,857,10.120666,3865
6000000000,000001.SZ,quote,10.016139,3738,1,9.998382,4177,10.033895,2416,9.988382,4874,10.043895,2459,9.978382,3035,10.053895,4342,9.968382,2089,10.063895,3513,9.958382,4109,10.073895,4282,9.948382,2808,10.083895,3628,9.938382,4619,10.093895,4820,9.928382,3929,10.103895,1827,9.918382,2135,10.113895,1633,9.908382,2548,10.123895,927
6100000000,000001.SZ,quote,10.016986,4642,-1,9.997993,4726,10.035979,1521,9.987993,2835,10.045979,1187,9.977993,1813,10.055979,2734,9.967993,4180,10.065979,4705,9.957993,1707,10.075979,4083,9.947993,1251,10.085979,2318,9.937993,4195,10.095979,3363,9.927993,718,10.105979,3898,9.917993,936,10.115979,3747,9.907993,4612,10.125979,3563
6200000000,000001.SZ,quote,10.0154,3171,-1,9.995444,730,10.035357,3110,9.985444,1311,10.045357,3246,9.975444,1696,10.055357,1627,9.965444,813,10.065357,2850,9.955444,4370,10.075357,1636,9.945444,4342,10.085357,4174,9.935444,543,10.095357,1149,9.925444,655,10.105357,2596,9.915444,2266,10.115357,1724,9.905444,4995,10.125357,4823
6300000000,000001.SZ,quote,10.01494,2046,1,9.996731,1498,10.033149,891,9.986731,2453,10.043149,3939,9.976731,4244,10.053149,1014,9.966731,1408,10.063149,4594,9.956731,4891,10.073149,634,9.946731,4721,10.083149,2481,9.936731,1676,10.093149,2886,9.926731,4016,10.103149,512,9.916731,3390,10.113149,2470,9.906731,3912,10.123149,2034
6400000000,000001.SZ,quote,10.015926,3054,-1,10.003241,4809,10.028611,4957,9.993241,4656,10.038611,4658,9.983241,666,10.048611,3698,9.973241,4351,10.058611,856,9.963241,3669,10.068611,3558,9.953241,2577,10.078611,633,9.943241,3425,10.088611,1053,9.933241,3324,10.098611,2475,9.923241,1349,10.108611,3223,9.913241,1592,10.118611,863
6500000000,000001.SZ,quote,10.01504,1534,1,10.000332,4420,10.029748,1993,9.990332,1604,10.039748,1016,9.980332,4249,10.049748,802,9.970332,2903,10.059748,2151,9.960332,858,10.069748,2134,9.950332,843,10.079748,3085,9.940332,3040,10.089748,4722,9.930332,3762,10.099748,4948,9.920332,4378,10.109748,2575,9.910332,799,10.119748,2065
6600000000,000001.SZ,quote,10.013757,491,1,9.99486,2738,10.032654,1519,9.98486,3514,10.042654,4079,9.97486,3776,10.052654,4102,9.96486,3667,10.062654,3277,9.95486,2030,10.072654,4564,9.94486,4575,10.082654,3509,9.93486,4753,10.092654,2684,9.92486,1176,10.102654,3977,9.91486,1146,10.112654,4027,9.90486,1978,10.122654,4968
6700000000,000001.SZ,quote,10.012519,2786,1,9.999698,3010,10.02534,4152,9.989698,3990,10.03534,1865,9.979698,4136,10.04534,3379,9.969698,4162,10.05534,846,9.959698,3388,10.06534,4063,9.949698,2749,10.07534,969,9.939698,1114,10.08534,3827,9.929698,3476,10.09534,4703,9.919698,1810,10.10534,755,9.909698,1669,10.11534,4089
6800000000,000001.SZ,quote,10.009728,3100,1,9.99719,3636,10.022266,765,9.98719,1756,10.032266,4185,9.97719,3538,10.042266,3547,9.96719,4136,10.052266,1129,9.95719,1627,10.062266,4837,9.94719,3506,10.072266,3760,9.93719,3075,10.082266,2783,9.92719,2544,10.092266,1429,9.91719,712,10.102266,2024,9.90719,4588,10.112266,4741
6900000000,000001.SZ,quote,10.00905,2244,1,9.992557,4155,10.025543,2257,9.982557,2839,10.035543,4523,9.972557,2139,10.045543,1504,9.962557,1611,10.055543,1106,9.952557,4203,10.065543,1914,9.942557,4146,10.075543,1219,9.932557,3118,10.085543,3346,9.922557,1031,10.095543,4941,9.912557,2878,10.105543,2957,9.902557,1790,10.115543,1926
7000000000,000001.SZ,quote,10.010812,1094,-1,9.994742,1637,10.026882,2439,9.984742,4547,10.036882,715,9.974742,3456,10.046882,3522,9.964742,4328,10.056882,1563,9.954742,1206,10.066882,1038,9.944742,3033,10.076882,3761,9.934742,4421,10.086882,4806,9.924742,3865,10.096882,3854,9.914742,1104,10.106882,1526,9.904742,3097,10.116882,1107
7100000000,000001.SZ,quote,10.010512,2922,-1,9.993071,1990,10.027953,1557,9.983071,4044,10.037953,4619,9.973071,953,10.047953,1517,9.963071,4744,10.057953,1753,9.953071,2991,10.067953,1848,9.943071,1826,10.077953,3143,9.933071,2347,10.087953,3334,9.923071,4750,10.097953,2826,9.913071,1146,10.107953,2552,9.903071,2108,10.117953,2748
